id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
181,2026-03-06,12,19:00:00,17:00:00,White,W 63kg A,2026 VIRUS Weightlifting Series 1
182,2026-03-06,12,19:00:00,17:00:00,Blue,W 69kg H,2026 VIRUS Weightlifting Series 1
183,2026-03-06,12,19:00:00,17:00:00,Stars,M 79kg A,2026 VIRUS Weightlifting Series 1
184,2026-03-06,12,19:00:00,17:00:00,Stripes,M 79+kg + 88kg G,2026 VIRUS Weightlifting Series 1
185,2026-03-07,13,08:00:00,06:00:00,Red,W 69kg G,2026 VIRUS Weightlifting Series 1
186,2026-03-07,13,08:00:00,06:00:00,White,M 88kg F,2026 VIRUS Weightlifting Series 1
187,2026-03-07,13,08:00:00,06:00:00,Blue,W 69+kg + 77kg L,2026 VIRUS Weightlifting Series 1
188,2026-03-07,13,08:00:00,06:00:00,Stars,M 94kg I,2026 VIRUS Weightlifting Series 1
189,2026-03-07,13,08:00:00,06:00:00,Stripes,M 94+kg + 110kg J,2026 VIRUS Weightlifting Series 1
190,2026-03-07,14,10:00:00,08:00:00,Rogue,Adaptive Men/Women Rogue,2026 VIRUS Weightlifting Series 1
191,2026-03-07,14,10:00:00,08:00:00,Red,W 69kg F,2026 VIRUS Weightlifting Series 1
192,2026-03-07,14,10:00:00,08:00:00,White,M 88kg E,2026 VIRUS Weightlifting Series 1
193,2026-03-07,14,10:00:00,08:00:00,Blue,W 69+kg + 77kg K,2026 VIRUS Weightlifting Series 1
194,2026-03-07,14,10:00:00,08:00:00,Stars,M 94kg H,2026 VIRUS Weightlifting Series 1
195,2026-03-07,14,10:00:00,08:00:00,Stripes,M 94+kg + 110kg I,2026 VIRUS Weightlifting Series 1
196,2026-03-07,15,12:00:00,10:00:00,Red,W 69kg E,2026 VIRUS Weightlifting Series 1
197,2026-03-07,15,12:00:00,10:00:00,White,M 88kg D,2026 VIRUS Weightlifting Series 1
198,2026-03-07,15,12:00:00,10:00:00,Blue,W 77kg J,2026 VIRUS Weightlifting Series 1
199,2026-03-07,15,12:00:00,10:00:00,Stars,M 94kg G,2026 VIRUS Weightlifting Series 1
200,2026-03-07,15,12:00:00,10:00:00,Stripes,M 94+kg + 110kg H,2026 VIRUS Weightlifting Series 1
201,2026-03-07,16,14:00:00,12:00:00,Red,W 69kg D,2026 VIRUS Weightlifting Series 1
202,2026-03-07,16,14:00:00,12:00:00,White,M 88kg C,2026 VIRUS Weightlifting Series 1
203,2026-03-07,16,14:00:00,12:00:00,Blue,W 77kg I,2026 VIRUS Weightlifting Series 1
204,2026-03-07,16,14:00:00,12:00:00,Stars,M 94kg F,2026 VIRUS Weightlifting Series 1
205,2026-03-07,16,14:00:00,12:00:00,Stripes,M 110kg G,2026 VIRUS Weightlifting Series 1
206,2026-03-07,17,16:00:00,14:00:00,Red,W 69kg C,2026 VIRUS Weightlifting Series 1
207,2026-03-07,17,16:00:00,14:00:00,White,M 88kg B,2026 VIRUS Weightlifting Series 1
208,2026-03-07,17,16:00:00,14:00:00,Blue,W 77kg H,2026 VIRUS Weightlifting Series 1
209,2026-03-07,17,16:00:00,14:00:00,Stars,M 94kg E,2026 VIRUS Weightlifting Series 1
210,2026-03-07,17,16:00:00,14:00:00,Stripes,W 77+kg + 86kg F,2026 VIRUS Weightlifting Series 1
211,2026-03-07,18,18:00:00,16:00:00,Red,W 69kg B,2026 VIRUS Weightlifting Series 1
212,2026-03-07,18,18:00:00,16:00:00,White,M 88kg A,2026 VIRUS Weightlifting Series 1
213,2026-03-07,18,18:00:00,16:00:00,Blue,W 77kg G,2026 VIRUS Weightlifting Series 1
214,2026-03-07,18,18:00:00,16:00:00,Stars,M 94kg D,2026 VIRUS Weightlifting Series 1
215,2026-03-07,18,18:00:00,16:00:00,Stripes,M 110kg F,2026 VIRUS Weightlifting Series 1
216,2026-03-07,19,20:00:00,18:00:00,Red,W 69kg A,2026 VIRUS Weightlifting Series 1
217,2026-03-07,19,20:00:00,18:00:00,White,W 77+kg + 86kg E,2026 VIRUS Weightlifting Series 1
218,2026-03-07,19,20:00:00,18:00:00,Blue,W 77kg F,2026 VIRUS Weightlifting Series 1
219,2026-03-07,19,20:00:00,18:00:00,Stripes,M 110kg E,2026 VIRUS Weightlifting Series 1
220,2026-03-08,20,08:00:00,06:00:00,Red,M 110kg D,2026 VIRUS Weightlifting Series 1
221,2026-03-08,20,08:00:00,06:00:00,White,W 86+kg E,2026 VIRUS Weightlifting Series 1
222,2026-03-08,20,08:00:00,06:00:00,Blue,W 86kg D,2026 VIRUS Weightlifting Series 1
223,2026-03-08,20,08:00:00,06:00:00,Stars,W 77kg E,2026 VIRUS Weightlifting Series 1
224,2026-03-08,20,08:00:00,06:00:00,Stripes,M 94kg C,2026 VIRUS Weightlifting Series 1
225,2026-03-08,21,10:00:00,08:00:00,Red,W 77+kg + 86kg C,2026 VIRUS Weightlifting Series 1
226,2026-03-08,21,10:00:00,08:00:00,White,W 86+kg D,2026 VIRUS Weightlifting Series 1
227,2026-03-08,21,10:00:00,08:00:00,Blue,M 110+kg D,2026 VIRUS Weightlifting Series 1
228,2026-03-08,21,10:00:00,08:00:00,Stars,W 77kg D,2026 VIRUS Weightlifting Series 1
